2023-12-04T07:37:51.240Z - User: Ben, Activity: Provided correct password
2023-12-04T07:37:51.241Z - User: Ben, Activity: Logged In
2023-12-04T07:37:53.664Z - User: Ben, Activity: Accessed Lessons Page
2023-12-04T07:37:56.500Z - User: Ben, Activity: Accessed Lesson
2023-12-04T07:38:05.205Z - User: Ben, Activity: Accessed Lessons Page
2023-12-04T07:38:06.834Z - User: Ben, Activity: Logged Out
2023-12-06T03:53:06.907Z - User: Ben, Activity: Provided correct password
2023-12-06T03:53:06.908Z - User: Ben, Activity: Logged In
2023-12-06T03:53:08.568Z - User: Ben, Activity: Accessed Classes Page
2023-12-06T03:53:10.758Z - User: Ben, Activity: Logged Out
2023-12-06T07:41:53.533Z - User: Ben, Activity: Provided correct password
2023-12-06T07:41:53.538Z - User: Ben, Activity: Logged In
2023-12-06T19:20:20.171Z - User: Ben, Activity: Provided correct password
2023-12-06T19:20:20.176Z - User: Ben, Activity: Logged In
2024-01-29T23:34:27.022Z - User: Ben, Activity: Provided correct password
2024-01-29T23:34:27.025Z - User: Ben, Activity: Logged In
2024-02-01T05:38:53.983Z - User: Ben, Activity: Provided correct password
2024-02-01T05:38:53.987Z - User: Ben, Activity: Logged In
2024-02-01T06:19:19.397Z - User: Ben, Activity: Logged Out
2024-02-01T06:19:25.258Z - User: Ben, Activity: Provided correct password
2024-02-01T06:19:25.259Z - User: Ben, Activity: Logged In
2024-02-01T06:19:33.562Z - User: Ben, Activity: Logged Out
2024-02-01T06:19:45.823Z - User: Ben, Activity: Provided correct password
2024-02-01T06:19:45.824Z - User: Ben, Activity: Logged In
2024-02-01T18:58:31.341Z - User: Ben, Activity: Provided correct password
2024-02-01T18:58:31.343Z - User: Ben, Activity: Logged In
2024-02-01T18:58:34.955Z - User: Ben, Activity: Logged Out
2024-02-02T03:01:04.903Z - User: Ben, Activity: Provided correct password
2024-02-02T03:01:04.905Z - User: Ben, Activity: Logged In
2024-02-02T03:05:40.791Z - User: Ben, Activity: Logged Out
2024-02-02T03:13:31.554Z - User: Ben, Activity: Provided correct password
2024-02-02T03:13:31.555Z - User: Ben, Activity: Logged In
2024-02-02T03:13:34.389Z - User: Ben, Activity: Logged Out
2024-02-02T03:28:18.503Z - User: Ben, Activity: Provided correct password
2024-02-02T03:28:18.504Z - User: Ben, Activity: Logged In
2024-02-02T03:29:26.333Z - User: Ben, Activity: Logged Out
2024-02-02T03:29:27.670Z - User: Ben, Activity: Provided correct password
2024-02-02T03:29:27.671Z - User: Ben, Activity: Logged In
2024-02-02T03:32:12.119Z - User: Ben, Activity: Provided correct password
2024-02-02T03:32:12.121Z - User: Ben, Activity: Logged In
2024-02-02T03:32:25.887Z - User: Ben, Activity: Logged Out
2024-02-02T03:32:43.821Z - User: Ben, Activity: Provided correct password
2024-02-02T03:32:43.822Z - User: Ben, Activity: Logged In
2024-02-02T04:10:37.771Z - User: Ben, Activity: Provided correct password
2024-02-02T04:10:37.773Z - User: Ben, Activity: Logged In
2024-02-02T04:10:47.356Z - User: Ben, Activity: Logged Out
2024-02-02T04:14:34.869Z - User: Ben, Activity: Provided correct password
2024-02-02T04:14:34.869Z - User: Ben, Activity: Logged In
2024-02-02T04:14:56.189Z - User: Ben, Activity: Logged Out
2024-02-02T04:16:04.708Z - User: Ben, Activity: Provided correct password
2024-02-02T04:16:04.709Z - User: Ben, Activity: Logged In
2024-02-02T04:16:12.879Z - User: Ben, Activity: Logged Out
2024-02-02T04:16:56.226Z - User: Ben, Activity: Provided correct password
2024-02-02T04:16:56.228Z - User: Ben, Activity: Logged In
2024-02-02T04:17:30.735Z - User: Ben, Activity: Logged Out
2024-02-02T04:17:38.053Z - User: Ben, Activity: Provided correct password
2024-02-02T04:17:38.055Z - User: Ben, Activity: Logged In
2024-02-02T04:17:46.604Z - User: Ben, Activity: Logged Out
2024-02-02T04:25:27.779Z - User: Ben, Activity: Provided correct password
2024-02-02T04:25:27.780Z - User: Ben, Activity: Logged In
2024-02-02T04:26:39.346Z - User: Ben, Activity: Provided correct password
2024-02-02T04:26:39.347Z - User: Ben, Activity: Logged In
2024-02-02T04:26:45.299Z - User: Ben, Activity: Logged Out
2024-02-02T04:34:30.127Z - User: Ben, Activity: Provided correct password
2024-02-02T04:34:30.130Z - User: Ben, Activity: Logged In
2024-02-02T04:34:32.639Z - User: Ben, Activity: Logged Out
2024-02-02T04:59:00.920Z - User: Ben, Activity: Provided correct password
2024-02-02T04:59:00.920Z - User: Ben, Activity: Logged In
2024-02-02T05:00:25.491Z - User: Ben, Activity: Provided correct password
2024-02-02T05:00:25.492Z - User: Ben, Activity: Logged In
2024-02-02T05:00:46.482Z - User: Ben, Activity: Logged Out
2024-02-02T05:08:07.575Z - User: Ben, Activity: Provided correct password
2024-02-02T05:08:07.575Z - User: Ben, Activity: Logged In
2024-02-02T05:08:18.154Z - User: Ben, Activity: Logged Out
2024-02-02T05:08:23.485Z - User: Ben, Activity: Provided correct password
2024-02-02T05:08:23.486Z - User: Ben, Activity: Logged In
2024-02-02T05:09:56.733Z - User: Ben, Activity: Provided correct password
2024-02-02T05:09:56.735Z - User: Ben, Activity: Logged In
2024-02-02T05:10:55.261Z - User: Ben, Activity: Provided correct password
2024-02-02T05:10:55.263Z - User: Ben, Activity: Logged In
2024-02-02T05:11:30.064Z - User: Ben, Activity: Provided correct password
2024-02-02T05:11:30.066Z - User: Ben, Activity: Logged In
2024-02-02T05:16:22.185Z - User: Ben, Activity: Logged Out
