2024-02-01T06:19:37.749Z - User: Instructor, Activity: Provided correct password
2024-02-01T06:19:37.752Z - User: Instructor, Activity: Logged In
2024-02-01T06:19:41.163Z - User: Instructor, Activity: Logged Out
2024-02-01T18:58:38.220Z - User: Instructor, Activity: Provided correct password
2024-02-01T18:58:38.221Z - User: Instructor, Activity: Logged In
2024-02-01T19:03:09.467Z - User: Instructor, Activity: Logged Out
2024-02-02T04:34:35.057Z - User: Instructor, Activity: Provided correct password
2024-02-02T04:34:35.058Z - User: Instructor, Activity: Logged In
2024-02-02T04:36:53.679Z - User: Instructor, Activity: Logged Out
2024-02-02T04:36:55.255Z - User: Instructor, Activity: Provided correct password
2024-02-02T04:36:55.255Z - User: Instructor, Activity: Logged In
2024-02-02T04:37:06.670Z - User: Instructor, Activity: Provided correct password
2024-02-02T04:37:06.672Z - User: Instructor, Activity: Logged In
2024-02-02T04:40:06.073Z - User: Instructor, Activity: Provided correct password
2024-02-02T04:40:06.074Z - User: Instructor, Activity: Logged In
2024-02-02T04:41:12.065Z - User: Instructor, Activity: Provided correct password
2024-02-02T04:41:12.066Z - User: Instructor, Activity: Logged In
2024-02-02T04:44:22.569Z - User: Instructor, Activity: Provided correct password
2024-02-02T04:44:22.571Z - User: Instructor, Activity: Logged In
2024-02-02T04:46:27.548Z - User: Instructor, Activity: Provided correct password
2024-02-02T04:46:27.550Z - User: Instructor, Activity: Logged In
2024-02-02T04:47:46.548Z - User: Instructor, Activity: Provided correct password
2024-02-02T04:47:46.549Z - User: Instructor, Activity: Logged In
2024-02-02T04:48:38.655Z - User: Instructor, Activity: Provided correct password
2024-02-02T04:48:38.656Z - User: Instructor, Activity: Logged In
2024-02-02T04:53:56.708Z - User: Instructor, Activity: Logged Out
2024-02-02T04:54:03.355Z - User: Instructor, Activity: Provided correct password
2024-02-02T04:54:03.357Z - User: Instructor, Activity: Logged In
2024-02-02T04:54:51.687Z - User: Instructor, Activity: Provided correct password
2024-02-02T04:54:51.689Z - User: Instructor, Activity: Logged In
2024-02-02T04:55:19.827Z - User: Instructor, Activity: Provided correct password
2024-02-02T04:55:19.828Z - User: Instructor, Activity: Logged In
2024-02-02T04:58:58.522Z - User: Instructor, Activity: Logged Out
2024-02-02T05:00:48.955Z - User: Instructor, Activity: Provided correct password
2024-02-02T05:00:48.956Z - User: Instructor, Activity: Logged In
2024-02-02T05:03:02.911Z - User: Instructor, Activity: Provided correct password
2024-02-02T05:03:02.912Z - User: Instructor, Activity: Logged In
2024-02-02T05:03:53.469Z - User: Instructor, Activity: Provided correct password
2024-02-02T05:03:53.470Z - User: Instructor, Activity: Logged In
2024-02-02T05:05:29.695Z - User: Instructor, Activity: Provided correct password
2024-02-02T05:05:29.696Z - User: Instructor, Activity: Logged In
2024-02-02T05:06:12.735Z - User: Instructor, Activity: Provided correct password
2024-02-02T05:06:12.736Z - User: Instructor, Activity: Logged In
2024-02-02T05:07:03.536Z - User: Instructor, Activity: Provided correct password
2024-02-02T05:07:03.537Z - User: Instructor, Activity: Logged In
2024-02-02T05:08:04.143Z - User: Instructor, Activity: Logged Out
2024-02-02T05:16:24.819Z - User: Instructor, Activity: Provided correct password
2024-02-02T05:16:24.820Z - User: Instructor, Activity: Logged In
2024-02-02T05:16:35.251Z - User: Instructor, Activity: Logged Out
2024-02-02T05:16:36.454Z - User: Instructor, Activity: Provided correct password
2024-02-02T05:16:36.455Z - User: Instructor, Activity: Logged In
2024-02-02T05:16:38.714Z - User: Instructor, Activity: Logged Out
