2023-11-15T20:41:45.991Z - User: user, Activity: Provided correct password
2023-11-15T20:41:45.996Z - User: user, Activity: Logged In
2023-11-15T20:42:11.805Z - User: user, Activity: Logged Out
2023-11-15T20:45:26.343Z - User: user, Activity: Provided correct password
2023-11-15T20:45:26.347Z - User: user, Activity: Logged In
2023-11-15T20:45:45.180Z - User: user, Activity: Logged Out
2023-11-15T20:53:44.297Z - User: user, Activity: Provided correct password
2023-11-15T20:53:44.301Z - User: user, Activity: Logged In
2023-11-15T20:53:59.769Z - User: user, Activity: Logged Out
2023-12-04T07:37:36.153Z - User: user, Activity: Provided correct password
2023-12-04T07:37:36.158Z - User: user, Activity: Logged In
2023-12-04T07:37:44.163Z - User: user, Activity: Logged Out
